task_name,description,use_case,context,example_input,example_output
research_local_personal_trainers_if_you_want_guided,Research local personal trainers if you want guided workouts.,General task automation,,,
make_sure_your_bank_details_and_addresses_are,Make sure your bank details and addresses are updated post-move.,Automate social media posting,,,
create_a_mini_morning_routine_to_start_each,Create a mini “morning routine” to start each day productively.,Build or generate content or application,,,
plan_a_short_trip_or_vacation_to_recharge,Plan a short trip or vacation to recharge from busy schedules.,Schedule tasks or events,,,
plan_or_attend_a_potluck_with_local_friendscontacts,Plan or attend a potluck with local friends/contacts.,Assist with planning,,,
schedule_an_annual_physical_exam,Schedule an annual physical exam.,Schedule tasks or events,,,
check_your_vaccination_records_and_booster_shots,Check your vaccination records and booster shots.,General task automation,,,
schedule_an_eye_exam_to_update_your_contact,Schedule an eye exam to update your contact lens prescription.,Schedule tasks or events,,,
plan_a_mental_health_day_once_every_couple,Plan a mental health day once every couple of months.,Assist with planning,every couple of months,,
learn_to_quickly_identify_macros_in_common_sf,Learn to quickly identify macros in common SF restaurant meals.,General task automation,,,
check_your_phones_or_watchs_health_stats_steps,"Check your phone’s or watch’s health stats (steps, heart rate).",General task automation,,,
book_a_session_with_a_dietician_if_you,Book a session with a dietician if you have specific goals.,General task automation,,,
book_a_dentist_appointment_for_routine_cleaning,Book a dentist appointment for routine cleaning.,General task automation,,,
learn_basic_stretching_routines_for_breaks_during_computer,Learn basic stretching routines for breaks during computer work.,General task automation,,,
check_your_daily_caffeine_intake_if_it_affects,Check your daily caffeine intake if it affects sleep.,General task automation,,,
read_about_sleep_hygiene_tips_blue_light_reduction,"Read about sleep hygiene tips (blue light reduction, consistent bedtime).",General task automation,,,
monitor_your_heart_rate_during_workouts_for_optimum,Monitor your heart rate during workouts for optimum intensity.,Monitor services or metrics,,,
book_a_dermatologist_appointment_for_any_skin_concerns,Book a dermatologist appointment for any skin concerns.,General task automation,,,
check_posture_with_a_posturecorrecting_device_or_reminders,Check posture with a posture-correcting device or reminders.,Automate social media posting,,,
schedule_any_specialized_doctor_appointments_youve_been_postponing,Schedule any specialized doctor appointments you’ve been postponing.,Schedule tasks or events,,,
plan_a_short_run_route_in_a_local,Plan a short run route in a local park or neighborhood.,Assist with planning,,,
schedule_a_monthly_body_measurement_check_waist_hips,"Schedule a monthly body measurement check (waist, hips, etc.).",Schedule tasks or events,,,
research_mental_health_professionals_in_sf_if_you,Research mental health professionals in SF if you want ongoing support.,General task automation,,,
cook_a_batch_of_healthy_lunches_at_the,Cook a batch of healthy lunches at the start of the week.,General task automation,,,
learn_quick_healthy_meal_recipes_that_take_under,Learn quick healthy meal recipes that take under 15 minutes.,General task automation,,,
schedule_a_monthly_weighin_or_body_composition_check,Schedule a monthly weigh-in or body composition check.,Schedule tasks or events,,,
check_your_local_sf_community_centers_for_free,Check your local SF community centers for free or low-cost health classes.,General task automation,,,
research_nutritional_guidelines_for_your_agesex,Research nutritional guidelines for your age/sex.,General task automation,,,
book_a_specialized_checkup_if_you_have_any,"Book a specialized check-up if you have any lingering concerns (e.g., hearing test).",General task automation,,,
create_a_selenium_script_to_check_competitor_websites,Create a Selenium script to check competitor websites daily for updates.,Build or generate content or application,,,
write_a_puppeteer_script_to_log_in_to,Write a Puppeteer script to log in to LinkedIn and scrape event listings.,Scrape web data,,,
schedule_a_daily_check_of_your_personal_email,Schedule a daily check of your personal email with filters for spam.,Send email reminder or notification,,,
build_a_quick_script_to_parse_job_postings,Build a quick script to parse job postings relevant to your cofounder search.,Automate social media posting,,,
schedule_monthly_backups_of_important_documents_to_google,Schedule monthly backups of important documents to Google Drive.,Schedule tasks or events,,,
create_a_browser_extension_to_highlight_relevant_search,Create a browser extension to highlight relevant search results for swebench.,Build or generate content or application,,,
create_a_script_that_logs_into_your_academic,Create a script that logs into your academic portal to check updates.,Build or generate content or application,,,
deploy_a_tool_that_aggregates_all_your_subscription,Deploy a tool that aggregates all your subscription renewals in one place.,General task automation,,,
build_a_daily_summary_email_that_includes_tasks,"Build a daily summary email that includes tasks, events, and news.",Send email reminder or notification,,,
schedule_browser_automation_to_gather_discount_codes_for,Schedule browser automation to gather discount codes for your frequent online stores.,Schedule tasks or events,,,
create_a_simple_chatbot_that_answers_common_admin,Create a simple chatbot that answers common admin queries for your startup.,Build or generate content or application,,,
write_a_short_script_to_confirm_website_ssl,Write a short script to confirm website SSL certificate statuses.,General task automation,,,
create_a_pipeline_that_logs_any_new_leads,Create a pipeline that logs any new leads from your website into a CRM.,Build or generate content or application,,,
schedule_automatic_checks_on_your_business_bank_account,Schedule automatic checks on your business bank account balance.,Schedule tasks or events,,,
create_recurring_tasks_in_your_system_for_monthly,Create recurring tasks in your system for monthly admin chores.,Build or generate content or application,,,
build_a_short_macro_for_frequently_repeated_browser,"Build a short macro for frequently repeated browser tasks (Excel import, etc.).",General task automation,,,
create_a_keyboard_shortcut_to_autofill_your_resume,Create a keyboard shortcut to auto-fill your resume details in forms.,Build or generate content or application,,,
deploy_an_autoresponder_for_your_personal_email_during,Deploy an auto-responder for your personal email during busy weeks.,Send email reminder or notification,,,
write_a_snippet_that_logs_your_linkedin_posts,Write a snippet that logs your LinkedIn posts’ performance weekly.,Automate social media posting,,,
schedule_monthly_or_quarterly_tasks_to_renew_or,Schedule monthly or quarterly tasks to renew or check any business licenses.,Schedule tasks or events,,,
build_a_pipeline_that_scrapes_sf_job_boards,Build a pipeline that scrapes SF job boards for your startup’s competitor postings.,Scrape web data,,,
schedule_a_chrome_extension_to_block_distracting_sites,Schedule a Chrome extension to block distracting sites during work hours.,Schedule tasks or events,,,
write_a_script_to_reformat_certain_data_from,Write a script to reformat certain data from CSV to JSON automatically.,General task automation,,,
create_a_bulk_contact_approach_for_your_phone,Create a “bulk contact” approach for your phone so you can easily text updates.,Build or generate content or application,,,
deploy_a_small_script_to_check_your_sf,Deploy a small script to check your SF library account for due dates.,General task automation,,,
build_a_cron_job_that_cleans_your_downloads,Build a cron job that cleans your downloads folder weekly.,General task automation,,,
schedule_a_monthly_check_on_your_domains_seo,Schedule a monthly check on your domain’s SEO or Google ranking.,Schedule tasks or events,,,
write_a_small_python_snippet_to_rename_your,Write a small Python snippet to rename your screenshots by date.,General task automation,,,
create_a_script_to_parse_your_linkedin_messages,Create a script to parse your LinkedIn messages for potential leads.,Build or generate content or application,,,
develop_a_system_to_check_multiple_email_addresses,Develop a system to check multiple email addresses with one command.,Send email reminder or notification,,,
write_a_script_that_autoarchives_older_emails_after,Write a script that auto-archives older emails after 90 days.,Send email reminder or notification,,,
create_a_quick_script_to_parse_event_registrations,Create a quick script to parse event registrations and store them in your calendar.,Build or generate content or application,,,
write_an_autoresponder_for_typical_startup_inquiries_thanks,Write an auto-responder for typical startup inquiries (“Thanks for contacting us!”).,General task automation,,,
schedule_a_daily_or_weekly_check_for_coworking,Schedule a daily or weekly check for coworking space availability.,Schedule tasks or events,,,
write_a_short_code_snippet_to_remind_you,Write a short code snippet to remind you to clock out from tasks.,General task automation,,,
create_a_fallback_script_that_logs_important_tasks,Create a fallback script that logs important tasks if your main system fails.,Build or generate content or application,,,
schedule_a_weekly_purge_of_spam_or_promotional,Schedule a weekly purge of spam or promotional emails.,Send email reminder or notification,,,
create_a_coding_snippet_library_for_your_frequent,Create a coding snippet library for your frequent startup tasks.,Build or generate content or application,,,
write_a_custom_vscode_extension_to_track_tasks,Write a custom VSCode extension to track tasks in your environment.,General task automation,,,
create_a_unified_workspace_with_multiple_projects_startup,"Create a unified workspace with multiple projects (startup, swebench, dspy).",Build or generate content or application,,,
write_a_small_script_that_sets_up_your,Write a small script that sets up your entire environment automatically.,General task automation,,,
create_a_custom_task_in_vscode_for_building,Create a custom task in VSCode for building your pip module.,Build or generate content or application,,,
write_tasks_that_automate_doc_generation_from_docstrings,Write tasks that automate doc generation from docstrings.,General task automation,,,
create_a_custom_command_in_vscode_for_run,Create a custom command in VSCode for “run all tasks now.”,Build or generate content or application,,,
write_a_short_script_to_automate_your_entire,Write a short script to automate your entire dev environment setup.,General task automation,,,
create_a_coding_style_guide_in_a_markdown,Create a coding style guide in a markdown file.,Build or generate content or application,,,
check_if_you_can_create_a_snippet_for,Check if you can create a snippet for your typical ML boilerplate.,Build or generate content or application,,,
create_a_custom_color_theme_or_find_one,Create a custom color theme or find one that’s easy on your eyes.,Build or generate content or application,,,
write_a_script_that_autogenerates_release_notes_from,Write a script that auto-generates release notes from Git commit messages.,Generate creative content,,,
write_a_script_to_do_partial_gpu_checks,Write a script to do partial GPU checks for your training tasks.,General task automation,,,
write_a_script_that_automatically_commits_code_with,Write a script that automatically commits code with conventional commit messages.,General task automation,,,
build_a_small_extension_that_highlights_references_to,Build a small extension that highlights references to “swebench” or “dspy.”,General task automation,,,
check_out_the_settings_sync_feature_so_your,Check out the “Settings Sync” feature so your configuration is consistent.,General task automation,,,
write_a_personal_extension_that_merges_data_from,Write a personal extension that merges data from your academic tasks.,General task automation,,,
make_a_list_of_top_5_stanford_alumni,Make a list of top 5 Stanford alumni working in your business domain.,General task automation,,,
plan_a_coffee_chat_outreach_schedule_eg_2,"Plan a coffee chat outreach schedule (e.g., 2 new contacts per week).",Schedule tasks or events,,,
research_each_persons_background_before_meeting_linkedin_personal,"Research each person’s background before meeting (LinkedIn, personal websites).",General task automation,,,
draft_an_elevator_pitch_for_new_people_you,Draft an elevator pitch for new people you meet.,General task automation,,,
research_top_vcs_or_angels_in_your_domain,Research top VCs or angels in your domain just to know who’s who.,General task automation,,,
compile_public_interviews_or_articles_about_highprofile_people,Compile public interviews or articles about high-profile people in your field.,General task automation,,,
summarize_each_persons_interests_in_a_quick_note,Summarize each person’s interests in a quick note for future reference.,Summarize documents or articles,,,
check_local_event_platforms_meetup_eventbrite_for_relevant,"Check local event platforms (Meetup, Eventbrite) for relevant gatherings.",General task automation,,,
research_each_cofounder_candidates_track_record_of_launching,Research each cofounder candidate’s track record of launching products.,General task automation,,,
book_15minute_intro_calls_rather_than_1hour_for,Book 15-minute intro calls rather than 1-hour for new contacts.,General task automation,,,
draft_an_email_to_professors_at_stanford_referencing,Draft an email to professors at Stanford referencing your alumni status.,Send email reminder or notification,,,
summarize_your_last_conversation_with_each_contact_in,Summarize your last conversation with each contact in a note.,Summarize documents or articles,,,
write_a_brief_blog_summarizing_your_conversation_with,Write a brief blog summarizing your conversation with an industry leader.,General task automation,,,
gather_success_stories_from_people_youve_helped_or,Gather success stories from people you’ve helped or collaborated with.,General task automation,,,
send_a_congrats_message_when_someone_hits_a,Send a “congrats” message when someone hits a milestone.,General task automation,,,
write_small_linkedin_recommendations_for_people_youve_worked,Write small LinkedIn recommendations for people you’ve worked with.,Provide recommendations,,,
check_if_any_local_sf_academic_conferences_want,Check if any local SF academic conferences want lightning talks.,General task automation,,,
build_a_personal_brand_by_posting_regularly_about,Build a personal brand by posting regularly about your journey.,Automate social media posting,,,
organize_a_small_group_chat_for_entrepreneurs_focusing,Organize a small group chat for entrepreneurs focusing on profitability.,Organize or categorize information,,,
create_a_dream_team_list_of_5_people,Create a “dream team” list of 5 people you’d love to meet someday.,Build or generate content or application,,,
check_if_your_current_network_can_help_you,Check if your current network can help you run a test for your startup idea.,General task automation,,,
make_sure_your_email_signature_is_updated_with,Make sure your email signature is updated with relevant links.,Send email reminder or notification,,,
write_decision_making_system,Write decision making system,General task automation,,,
write_memory_system,Write memory system,General task automation,,,
